"","name","platform","year_of_release","genre","global_sales","critic_score","critic_count","user_score","user_count","rating"
"15","Kinect Adventures!","Xbox",2010,"Misc",21810000,61,45,63,106,"Everyone"
"17","Grand Theft Auto V","Playstation",2013,"Action",21040000,97,50,82,3994,"17+"
"18","Grand Theft Auto: San Andreas","Playstation",2004,"Action",20810000,95,80,90,1588,"17+"
"24","Grand Theft Auto V","Xbox",2013,"Action",16270000,97,58,81,3711,"17+"
"25","Grand Theft Auto: Vice City","Playstation",2002,"Action",16150000,95,62,87,730,"17+"
"30","Call of Duty: Modern Warfare 3","Xbox",2011,"Shooter",14730000,88,81,34,8713,"17+"
"33","Call of Duty: Black Ops","Xbox",2010,"Shooter",14610000,87,89,63,1454,"17+"
"35","Call of Duty: Black Ops II","Playstation",2012,"Shooter",13790000,83,21,53,922,"17+"
"36","Call of Duty: Black Ops II","Xbox",2012,"Shooter",13670000,83,73,48,2256,"17+"
"37","Call of Duty: Modern Warfare 2","Xbox",2009,"Shooter",13470000,94,100,63,2698,"17+"
"38","Call of Duty: Modern Warfare 3","Playstation",2011,"Shooter",13320000,88,39,32,5234,"17+"
"42","Call of Duty: Black Ops","Playstation",2010,"Shooter",12630000,88,58,64,1094,"17+"
"43","Grand Theft Auto V","Playstation",2014,"Action",12610000,97,66,83,2899,"17+"
"45","Halo 3","Xbox",2007,"Shooter",12120000,94,86,78,4100,"17+"
"49","Gran Turismo 4","Playstation",2004,"Racing",11660000,89,74,85,272,"Everyone"
"52","Grand Theft Auto IV","Xbox",2008,"Action",11010000,98,86,79,2951,"17+"
"55","Gran Turismo 5","Playstation",2010,"Racing",10700000,84,82,75,1112,"Everyone"
"56","Call of Duty: Modern Warfare 2","Playstation",2009,"Shooter",10600000,94,67,63,2073,"17+"
"58","Grand Theft Auto IV","Playstation",2008,"Action",10500000,98,64,75,2833,"17+"
"61","Call of Duty: Ghosts","Xbox",2013,"Shooter",10250000,73,29,26,2117,"17+"
"65","Halo: Reach","Xbox",2010,"Shooter",9860000,91,99,79,2045,"17+"
"67","Halo 4","Xbox",2012,"Shooter",9710000,87,87,70,3260,"17+"
"70","Call of Duty: Ghosts","Playstation",2013,"Shooter",9360000,71,10,26,1047,"17+"
"71","Call of Duty 4: Modern Warfare","Xbox",2007,"Shooter",9310000,94,70,84,1320,"17+"
"76","The Elder Scrolls V: Skyrim","Xbox",2011,"Role-Playing",8790000,96,89,84,3589,"17+"
"78","FIFA 16","Playstation",2015,"Sports",8570000,82,42,43,896,"Everyone"
"79","Halo 2","Xbox",2004,"Shooter",8490000,95,91,82,1218,"17+"
"82","FIFA Soccer 13","Playstation",2012,"Action",8160000,88,37,66,348,"Everyone"
"93","Call of Duty: Advanced Warfare","Playstation",2014,"Shooter",7660000,83,39,57,1443,"17+"
"95","FIFA 17","Playstation",2016,"Sports",7590000,85,41,50,398,"Everyone"
"101","Call of Duty: World at War","Xbox",2008,"Shooter",7380000,84,84,76,580,"17+"
"102","Battlefield 3","Xbox",2011,"Shooter",7320000,84,57,74,2142,"17+"
"103","Need for Speed Underground","Playstation",2003,"Racing",7200000,85,33,86,171,"Everyone"
"105","Battlefield 3","Playstation",2011,"Shooter",7170000,85,38,75,1761,"17+"
"106","Fallout 4","Playstation",2015,"Role-Playing",7160000,87,58,65,4228,"17+"
"114","Need for Speed Underground 2","Playstation",2004,"Racing",6900000,82,39,86,132,"Everyone"
"115","Medal of Honor: Frontline","Playstation",2002,"Shooter",6830000,88,29,85,135,"13+"
"118","Gears of War 2","Xbox",2008,"Shooter",6750000,93,90,77,2739,"17+"
"119","Uncharted 3: Drake's Deception","Playstation",2011,"Action",6740000,92,97,83,3712,"13+"
"121","Call of Duty 4: Modern Warfare","Playstation",2007,"Shooter",6680000,94,44,84,993,"17+"
"122","Uncharted 2: Among Thieves","Playstation",2009,"Action",6660000,96,105,88,5187,"13+"
"126","Red Dead Redemption","Playstation",2010,"Action",6490000,95,73,88,2456,"17+"
"127","FIFA 14","Playstation",2013,"Sports",6470000,86,37,43,576,"Everyone"
"128","Assassin's Creed III","Playstation",2012,"Action",6450000,85,41,69,1307,"17+"
"131","The Elder Scrolls V: Skyrim","Playstation",2011,"Role-Playing",6410000,92,16,64,2527,"17+"
"133","Kingdom Hearts","Playstation",2002,"Role-Playing",6400000,85,46,88,597,"Everyone"
"135","Halo 3: ODST","Xbox",2009,"Shooter",6340000,83,94,71,1163,"17+"
"136","Red Dead Redemption","Xbox",2010,"Action",6320000,95,96,90,2316,"17+"
"141","Gears of War 3","Xbox",2011,"Shooter",6210000,91,96,78,1504,"17+"
"142","Kinect Sports","Xbox",2010,"Sports",6190000,73,51,74,95,"10+"
"143","Gears of War","Xbox",2006,"Shooter",6090000,94,88,83,2295,"17+"
"144","FIFA 15","Playstation",2014,"Sports",6080000,82,47,57,988,"Everyone"
"148","Metal Gear Solid 4: Guns of the Patriots","Playstation",2008,"Action",5990000,94,82,87,3558,"17+"
"149","Final Fantasy XII","Playstation",2006,"Role-Playing",5950000,92,64,76,972,"13+"
"150","The Last of Us","Playstation",2013,"Action",5870000,95,98,91,8003,"17+"
"151","LittleBigPlanet","Playstation",2008,"Platform",5820000,95,85,68,5311,"Everyone"
"155","Destiny","Playstation",2014,"Shooter",5640000,76,95,61,5380,"13+"
"160","Assassin's Creed II","Playstation",2009,"Action",5550000,91,70,86,1202,"17+"
"161","Assassin's Creed","Xbox",2007,"Adventure",5540000,81,77,77,1074,"17+"
"162","Forza Motorsport 3","Xbox",2009,"Racing",5490000,92,90,80,516,"Everyone"
"165","Batman: Arkham City","Playstation",2011,"Action",5480000,96,42,86,2162,"13+"
"166","Grand Theft Auto V","Xbox",2014,"Action",5480000,97,14,79,764,"17+"
"171","Call of Duty: World at War","Playstation",2008,"Shooter",5390000,85,45,76,409,"17+"
"172","Uncharted 4: A Thief's End","Playstation",2016,"Shooter",5380000,93,113,79,7064,"13+"
"174","Final Fantasy XIII","Playstation",2009,"Role-Playing",5330000,83,83,73,2483,"13+"
"177","Assassin's Creed III","Xbox",2012,"Action",5290000,84,61,67,1196,"17+"
"178","Final Fantasy X-2","Playstation",2003,"Role-Playing",5290000,85,45,66,400,"13+"
"180","Call of Duty: Advanced Warfare","Xbox",2014,"Shooter",5270000,81,53,54,898,"17+"
"182","Assassin's Creed II","Xbox",2009,"Action",5260000,90,82,88,1305,"17+"
"187","Dragon Quest VIII: Journey of the Cursed King","Playstation",2004,"Role-Playing",5210000,89,63,88,245,"13+"
"191","FIFA Soccer 13","Xbox",2012,"Action",5160000,90,48,61,403,"Everyone"
"194","Medal of Honor: Rising Sun","Playstation",2003,"Shooter",5130000,68,30,76,100,"13+"
"197","Guitar Hero II","Playstation",2006,"Misc",5120000,92,69,85,112,"13+"
"198","Fable III","Xbox",2010,"Role-Playing",5100000,80,88,65,604,"17+"
"200","Resident Evil 5","Playstation",2009,"Action",5090000,84,76,75,667,"17+"
"203","FIFA Soccer 11","Playstation",2010,"Sports",5070000,89,51,80,233,"Everyone"
"209","Guitar Hero III: Legends of Rock","Playstation",2007,"Misc",4980000,82,24,82,46,"13+"
"212","Fallout 3","Xbox",2008,"Role-Playing",4930000,93,84,85,1655,"17+"
"213","Uncharted: Drake's Fortune","Playstation",2007,"Action",4920000,88,66,81,2306,"13+"
"214","Madden NFL 06","Playstation",2005,"Sports",4910000,88,29,80,121,"Everyone"
"220","Assassin's Creed","Playstation",2007,"Adventure",4820000,81,40,73,769,"17+"
"221","God of War III","Playstation",2010,"Action",4800000,92,101,87,2633,"17+"
"225","Batman: Arkham City","Xbox",2011,"Action",4730000,94,87,87,1472,"13+"
"229","The Lord of the Rings: The Two Towers","Playstation",2002,"Action",4670000,82,32,82,78,"13+"
"232","Uncharted: The Nathan Drake Collection","Playstation",2015,"Action",4620000,86,78,81,1264,"13+"
"237","Forza Motorsport 4","Xbox",2011,"Racing",4570000,91,83,82,617,"Everyone"
"239","Madden NFL 2005","Playstation",2004,"Sports",4530000,91,30,79,78,"Everyone"
"240","Guitar Hero III: Legends of Rock","Xbox",2007,"Misc",4530000,85,69,79,165,"13+"
"242","Madden NFL 07","Playstation",2006,"Sports",4490000,84,29,82,39,"Everyone"
"243","Halo 5: Guardians","Xbox",2015,"Shooter",4480000,84,101,64,2438,"13+"
"244","Spider-Man: The Movie","Playstation",2002,"Action",4480000,76,25,79,41,"Everyone"
"246","Call of Duty: Infinite Warfare","Playstation",2016,"Shooter",4460000,77,82,34,1129,"17+"
"247","God of War","Playstation",2005,"Action",4450000,94,75,89,997,"17+"
"251","Winning Eleven: Pro Evolution Soccer 2007","Playstation",2006,"Sports",4390000,86,19,89,33,"Everyone"
"252","The Elder Scrolls IV: Oblivion","Xbox",2006,"Role-Playing",4380000,94,90,87,1109,"17+"
"254","Need for Speed: Most Wanted","Playstation",2005,"Racing",4370000,82,36,91,137,"13+"
"257","Resistance: Fall of Man","Playstation",2006,"Shooter",4340000,86,70,81,715,"17+"
"259","Kingdom Hearts II","Playstation",2005,"Role-Playing",4330000,87,64,90,766,"10+"
"266","Fable II","Xbox",2008,"Role-Playing",4270000,89,95,65,2423,"17+"
"268","Batman: Arkham Asylum","Playstation",2009,"Action",4230000,91,70,89,1122,"13+"
"269","Metal Gear Solid 3: Snake Eater","Playstation",2004,"Action",4230000,91,68,93,955,"17+"
"270","Assassin's Creed: Revelations","Playstation",2011,"Action",4220000,80,39,75,613,"17+"
"271","Fallout 4","Xbox",2015,"Role-Playing",4220000,88,39,62,1749,"17+"
"272","FIFA 14","Xbox",2013,"Sports",4220000,84,41,42,435,"Everyone"
"275","FIFA Soccer 06","Playstation",2005,"Sports",4210000,80,32,78,47,"Everyone"
"276","EyeToy Play","Playstation",2003,"Misc",4200000,80,32,75,22,"Everyone"
"277","Gran Turismo 5 Prologue","Playstation",2007,"Racing",4190000,80,67,71,120,"Everyone"
"278","Assassin's Creed: Revelations","Xbox",2011,"Action",4190000,80,77,72,564,"17+"
"281","Street Fighter IV","Playstation",2009,"Fighting",4160000,94,61,73,330,"13+"
"284","Madden NFL 2003","Playstation",2002,"Sports",4140000,95,25,77,65,"Everyone"
"290","Battlefield 1","Playstation",2016,"Shooter",4080000,88,31,84,809,"17+"
"291","God of War II","Playstation",2007,"Action",4070000,93,70,89,709,"17+"
"293","Fallout: New Vegas","Xbox",2010,"Role-Playing",4050000,84,81,81,769,"17+"
"294","Forza Motorsport 2","Xbox",2007,"Racing",4050000,90,66,83,381,"Everyone"
"296","Watch Dogs","Playstation",2014,"Action",4050000,80,80,63,2996,"17+"
"299","Far Cry 4","Playstation",2014,"Shooter",4040000,85,83,77,1653,"17+"
"303","Left 4 Dead 2","Xbox",2009,"Shooter",3970000,89,76,86,681,"17+"
"304","The Witcher 3: Wild Hunt","Playstation",2015,"Role-Playing",3970000,92,79,92,10179,"17+"
"305","Assassin's Creed: Unity","Playstation",2014,"Action",3960000,70,40,49,2050,"17+"
"306","Batman: Arkham Knight","Playstation",2015,"Action",3950000,87,89,76,2679,"17+"
"308","Fallout 3","Playstation",2008,"Role-Playing",3940000,90,57,80,910,"17+"
"312","Tony Hawk's Underground","Playstation",2003,"Sports",3900000,90,38,87,121,"13+"
"315","NBA 2K16","Playstation",2015,"Sports",3880000,87,51,67,364,"10+"
"316","Tekken 5","Playstation",2005,"Fighting",3870000,88,62,86,229,"13+"
"318","MotorStorm","Playstation",2006,"Racing",3870000,84,9,74,220,"13+"
"320","World Soccer Winning Eleven 8 International","Playstation",2004,"Sports",3850000,91,26,91,38,"Everyone"
"321","Sports Champions","Playstation",2010,"Sports",3840000,76,64,79,104,"10+"
"324","Call of Duty: Ghosts","Playstation",2013,"Shooter",3830000,78,49,37,1564,"17+"
"326","Tom Clancy's The Division","Playstation",2016,"Shooter",3800000,80,64,70,2219,"17+"
"330","LEGO Indiana Jones: The Original Adventures","Xbox",2008,"Action",3760000,77,60,75,66,"10+"
"338","Assassin's Creed IV: Black Flag","Playstation",2013,"Action",3710000,88,36,81,840,"17+"
"339","FIFA Soccer 2005","Playstation",2004,"Sports",3700000,81,27,76,56,"Everyone"
"342","Tony Hawk's Pro Skater 4","Playstation",2002,"Sports",3670000,94,27,85,128,"13+"
"347","SOCOM: U.S. Navy SEALs","Playstation",2002,"Shooter",3650000,82,42,79,82,"17+"
"350","Pro Evolution Soccer 2008","Playstation",2007,"Sports",3630000,82,10,79,38,"Everyone"
"351","Resident Evil 4","Playstation",2005,"Action",3620000,96,38,89,1013,"17+"
"353","FIFA Soccer 10","Playstation",2009,"Sports",3620000,91,56,76,203,"Everyone"
"354","Star Wars: Battlefront","Playstation",2004,"Shooter",3610000,82,36,87,142,"13+"
"358","Battlefield 4","Playstation",2013,"Shooter",3590000,85,18,69,1580,"17+"
"359","Star Wars: Battlefront II","Playstation",2005,"Shooter",3590000,84,30,90,268,"13+"
"364","Grand Theft Auto: Liberty City Stories","Playstation",2006,"Action",3540000,78,49,78,112,"17+"
"365","The Getaway","Playstation",2002,"Action",3540000,72,49,68,88,"17+"
"370","FIFA Soccer 11","Xbox",2010,"Sports",3520000,88,66,75,155,"Everyone"
"372","Left 4 Dead","Xbox",2008,"Shooter",3510000,89,67,79,1309,"17+"
"374","Assassin's Creed: Unity","Xbox",2014,"Action",3500000,72,59,41,1005,"17+"
"376","Resident Evil 5","Xbox",2009,"Action",3500000,83,91,75,523,"17+"
"377","Assassin's Creed: Brotherhood","Xbox",2010,"Action",3490000,89,81,83,693,"17+"
"379","Battlefield 4","Playstation",2013,"Shooter",3490000,80,14,58,579,"17+"
"380","Batman: Arkham Asylum","Xbox",2009,"Action",3480000,92,78,87,1080,"13+"
"381","Battlefield 4","Xbox",2013,"Shooter",3480000,79,21,56,542,"17+"
"382","Battlefield: Bad Company 2","Xbox",2010,"Shooter",3470000,88,75,86,869,"17+"
"387","Borderlands","Xbox",2009,"Shooter",3440000,84,83,82,715,"17+"
"388","Tekken 4","Playstation",2002,"Fighting",3440000,79,23,83,126,"13+"
"391","Metal Gear Solid V: The Phantom Pain","Playstation",2015,"Action",3410000,93,86,82,3943,"17+"
"392","Spider-Man 2","Playstation",2004,"Action",3410000,80,50,89,106,"13+"
"394","FIFA Soccer 2003","Playstation",2002,"Sports",3400000,88,15,67,35,"Everyone"
"395","LittleBigPlanet 2","Playstation",2011,"Platform",3390000,91,86,84,657,"Everyone"
"397","Assassin's Creed Syndicate","Playstation",2015,"Action",3390000,76,86,68,1319,"17+"
"398","LEGO Batman: The Videogame","Xbox",2008,"Action",3380000,76,49,79,75,"10+"
"399","Destiny","Xbox",2014,"Shooter",3370000,75,11,55,1735,"13+"
"402","Far Cry 3","Playstation",2012,"Shooter",3350000,90,32,85,1041,"17+"
"405","James Bond 007: Nightfire","Playstation",2002,"Shooter",3330000,77,20,85,66,"13+"
"408","Star Wars Episode III: Revenge of the Sith","Playstation",2005,"Action",3320000,60,34,72,82,"13+"
"411","Assassin's Creed IV: Black Flag","Xbox",2013,"Action",3300000,86,35,79,701,"17+"
"412","The Lord of the Rings: The Return of the King","Playstation",2003,"Action",3280000,85,31,87,105,"13+"
"414","Gears of War: Ultimate Edition","Xbox",2015,"Shooter",3280000,82,74,75,563,"17+"
"415","True Crime: Streets of LA","Playstation",2003,"Action",3270000,77,39,80,94,"17+"
"418","FIFA 16","Xbox",2015,"Sports",3250000,84,45,44,459,"Everyone"
"421","Madden NFL 16","Playstation",2015,"Sports",3240000,83,37,59,180,"Everyone"
"422","Gran Turismo 6","Playstation",2013,"Racing",3230000,81,81,77,758,"Everyone"
"423","Halo: The Master Chief Collection","Xbox",2014,"Shooter",3230000,85,69,72,1267,"17+"
"431","Enter the Matrix","Playstation",2003,"Action",3180000,62,30,81,137,"13+"
"433","Dance Central","Xbox",2010,"Misc",3170000,82,63,76,85,"13+"
"434","L.A. Noire","Playstation",2011,"Adventure",3170000,89,78,77,1010,"17+"
"437","FIFA Soccer 08","Playstation",2007,"Sports",3140000,83,12,65,36,"Everyone"
"446","Fallout: New Vegas","Playstation",2010,"Role-Playing",3110000,82,57,78,492,"17+"
"448","The Elder Scrolls IV: Oblivion","Playstation",2007,"Role-Playing",3100000,93,45,80,604,"17+"
"450","Resident Evil 6","Playstation",2012,"Shooter",3100000,74,34,54,1304,"17+"
"451","Mass Effect 2","Xbox",2010,"Role-Playing",3100000,96,98,89,3143,"17+"
"452","Dragon Ball Z: Budokai","Playstation",2002,"Fighting",3090000,67,28,79,71,"13+"
"460","Borderlands 2","Xbox",2012,"Shooter",3050000,89,59,82,892,"17+"
"462","Kung Fu Panda","Xbox",2008,"Action",3040000,75,42,74,32,"10+"
"463","Mass Effect 3","Xbox",2012,"Role-Playing",3040000,93,74,58,3725,"17+"
"464","Heavy Rain","Playstation",2010,"Adventure",3030000,87,107,77,2759,"17+"
"466","Saints Row 2","Xbox",2008,"Action",3030000,81,75,81,307,"17+"
"467","Tom Clancy's Splinter Cell","Xbox",2002,"Action",3020000,93,46,85,121,"13+"
"470","FIFA 14","Playstation",2013,"Sports",3010000,87,26,63,616,"Everyone"
"471","Killzone 2","Playstation",2009,"Shooter",3010000,91,94,81,1505,"17+"
"472","Far Cry 3","Xbox",2012,"Shooter",3000000,91,39,86,1247,"17+"
"474","NBA 2K13","Xbox",2012,"Sports",3000000,88,41,72,131,"Everyone"
"475","Dragon Ball Z: Budokai Tenkaichi 3","Playstation",2007,"Fighting",3000000,73,24,92,173,"13+"
"479","World Soccer Winning Eleven 6 International","Playstation",2002,"Sports",2990000,93,24,91,65,"Everyone"
"482","Middle-Earth: Shadow of Mordor","Playstation",2014,"Action",2960000,84,85,81,1886,"17+"
"483","Sonic Heroes","Playstation",2003,"Platform",2960000,64,29,78,94,"Everyone"
"484","Hitman 2: Silent Assassin","Playstation",2002,"Action",2960000,85,19,78,78,"17+"
"485","Titanfall","Xbox",2014,"Shooter",2950000,86,68,64,2658,"17+"
"486","Battlefield: Bad Company 2","Playstation",2010,"Shooter",2950000,88,59,85,572,"17+"
"488","SOCOM II: U.S. Navy SEALs","Playstation",2003,"Shooter",2940000,87,42,90,93,"17+"
"491","Street Fighter IV","Xbox",2009,"Fighting",2940000,93,77,73,292,"13+"
"492","inFAMOUS","Playstation",2009,"Action",2930000,85,98,83,1172,"13+"
"494","Call of Duty: Ghosts","Xbox",2013,"Shooter",2920000,78,7,43,700,"17+"
"497","Mass Effect","Xbox",2007,"Role-Playing",2910000,91,74,87,1692,"17+"
"498","Sonic Mega Collection Plus","Playstation",2004,"Misc",2900000,73,21,86,30,"Everyone"
"499","World Soccer Winning Eleven 7 International","Playstation",2003,"Sports",2900000,93,28,90,45,"Everyone"
"500","Sega Superstars Tennis","Xbox",2008,"Sports",2890000,67,45,68,18,"10+"
"503","Call of Duty: Finest Hour","Playstation",2004,"Shooter",2890000,76,49,77,69,"13+"
"508","Madden NFL 13","Xbox",2012,"Sports",2860000,81,36,58,179,"Everyone"
"509","The Elder Scrolls III: Morrowind","Xbox",2002,"Role-Playing",2860000,87,34,87,111,"13+"
"510","Assassin's Creed IV: Black Flag","Playstation",2013,"Action",2850000,83,29,78,1530,"17+"
"514","Mortal Kombat","Playstation",2011,"Fighting",2840000,84,60,84,494,"17+"
"515","Madden NFL 10","Xbox",2009,"Sports",2830000,85,58,61,90,"Everyone"
"517","BioShock","Xbox",2007,"Shooter",2830000,96,88,89,2249,"17+"
"519","Assassin's Creed: Brotherhood","Playstation",2010,"Action",2820000,90,59,82,791,"17+"
"523","Medal of Honor","Playstation",2010,"Shooter",2810000,75,56,75,286,"17+"
"530","inFAMOUS: Second Son","Playstation",2014,"Action",2790000,80,90,79,2944,"13+"
"535","Jak II","Playstation",2003,"Platform",2780000,87,47,82,241,"13+"
"537","Need for Speed: Hot Pursuit","Playstation",2010,"Racing",2780000,89,59,72,301,"10+"
"540","Mortal Kombat X","Playstation",2015,"Fighting",2780000,83,81,77,836,"17+"
"541","The Sims","Playstation",2003,"Simulation",2770000,83,33,77,46,"13+"
"542","Killzone 3","Playstation",2011,"Shooter",2770000,84,85,79,942,"17+"
"543","Star Wars: The Force Unleashed","Xbox",2008,"Action",2770000,73,74,67,389,"13+"
"546","Saints Row: The Third","Xbox",2011,"Action",2760000,84,70,76,490,"17+"
"549","Tekken 6","Playstation",2009,"Fighting",2750000,79,63,74,211,"13+"
"557","L.A. Noire","Xbox",2011,"Adventure",2700000,89,83,78,893,"17+"
"558","Call of Duty 3","Xbox",2006,"Shooter",2700000,82,71,65,233,"13+"
"559","Madden NFL 12","Xbox",2011,"Sports",2690000,78,55,59,94,"Everyone"
"560","LEGO Star Wars II: The Original Trilogy","Playstation",2006,"Action",2690000,84,32,90,41,"10+"
"561","Killzone: Shadow Fall","Playstation",2013,"Shooter",2690000,73,88,68,2102,"17+"
"562","Madden NFL 11","Xbox",2010,"Sports",2690000,84,47,57,120,"Everyone"
"563","Burnout 3: Takedown","Playstation",2004,"Racing",2680000,93,52,91,271,"13+"
"568","Call Of Duty 2: Big Red One","Playstation",2005,"Shooter",2670000,77,39,82,69,"13+"
"570","Fable","Xbox",2004,"Role-Playing",2660000,85,87,85,268,"17+"
"571","Guitar Hero: World Tour","Xbox",2008,"Misc",2660000,85,67,63,171,"13+"
"572","FIFA 17","Xbox",2016,"Sports",2650000,84,50,55,201,"Everyone"
"574","Tom Clancy's Splinter Cell","Playstation",2003,"Action",2650000,89,24,77,102,"13+"
"576","Need for Speed: Shift","Playstation",2009,"Racing",2650000,84,55,69,113,"Everyone"
"579","Final Fantasy XIII-2","Playstation",2011,"Role-Playing",2630000,79,53,66,707,"13+"
"581","Skate 3","Xbox",2010,"Sports",2630000,80,65,80,127,"13+"
"582","ESPN NFL 2K5","Playstation",2004,"Sports",2620000,90,37,82,84,"Everyone"
"583","Halo Wars","Xbox",2009,"Strategy",2620000,82,92,72,454,"13+"
"584","NBA 2K12","Xbox",2011,"Sports",2620000,90,42,77,134,"Everyone"
"586","FIFA Soccer 10","Xbox",2009,"Sports",2620000,90,63,75,133,"Everyone"
"587","Medal of Honor","Xbox",2010,"Shooter",2610000,74,71,67,288,"17+"
"588","Harry Potter and the Chamber of Secrets","Playstation",2002,"Action",2610000,71,16,76,49,"Everyone"
"590","God of War Collection","Playstation",2009,"Action",2600000,91,50,87,529,"17+"
"591","NBA Live 2005","Playstation",2004,"Sports",2590000,84,21,81,44,"Everyone"
"593","FIFA Soccer 09","Playstation",2008,"Sports",2580000,87,42,75,108,"Everyone"
"595","WWE SmackDown vs. RAW 2007","Playstation",2006,"Fighting",2580000,80,27,86,57,"13+"
"596","LEGO Star Wars: The Complete Saga","Xbox",2007,"Action",2570000,80,24,74,114,"10+"
"598","Madden NFL 08","Playstation",2007,"Sports",2570000,78,11,78,17,"Everyone"
"605","Madden NFL 13","Playstation",2012,"Sports",2560000,83,22,55,101,"Everyone"
"606","Dragon Age: Origins","Xbox",2009,"Role-Playing",2560000,86,68,79,725,"17+"
"609","Madden NFL 09","Xbox",2008,"Sports",2530000,83,50,70,125,"Everyone"
"613","NBA 2K14","Xbox",2013,"Sports",2520000,87,23,49,150,"Everyone"
"620","Marvel: Ultimate Alliance","Xbox",2006,"Role-Playing",2500000,82,68,75,120,"13+"
"622","Mortal Kombat: Deadly Alliance","Playstation",2002,"Fighting",2490000,79,31,88,96,"17+"
"624","Bloodborne","Playstation",2015,"Action",2480000,92,100,86,6383,"17+"
"627","Pure","Xbox",2008,"Racing",2470000,85,55,77,83,"Everyone"
"629","NBA 2K13","Playstation",2012,"Sports",2470000,90,26,80,99,"Everyone"
"630","Saints Row: The Third","Playstation",2011,"Action",2470000,82,50,77,384,"17+"
"631","Resistance 2","Playstation",2008,"Shooter",2460000,87,79,61,1889,"17+"
"632","NBA 2K15","Playstation",2014,"Sports",2450000,83,50,70,291,"Everyone"
"635","Midnight Club: Los Angeles","Playstation",2008,"Racing",2450000,82,50,82,100,"13+"
"637","The Sims: Bustin' Out","Playstation",2003,"Simulation",2430000,81,26,84,42,"13+"
"641","Call of Duty: Infinite Warfare","Xbox",2016,"Shooter",2420000,78,17,31,290,"17+"
"642","Madden NFL 16","Xbox",2015,"Sports",2420000,84,23,61,124,"Everyone"
"645","Tom Clancy's Rainbow Six: Vegas 2","Xbox",2008,"Shooter",2420000,82,66,78,176,"17+"
"649","Dragon Ball Z: Budokai 2","Playstation",2003,"Fighting",2410000,66,28,82,92,"13+"
"650","pro evolution soccer 2011","Playstation",2010,"Sports",2410000,77,40,68,85,"Everyone"
"653","Need for Speed: ProStreet","Playstation",2007,"Racing",2410000,62,11,62,34,"10+"
"654","Halo: Combat Evolved Anniversary","Xbox",2011,"Shooter",2400000,82,73,81,487,"17+"
"661","Guitar Hero","Playstation",2005,"Misc",2380000,91,65,87,173,"13+"
"662","Madden NFL 11","Playstation",2010,"Sports",2380000,83,36,61,68,"Everyone"
"665","Dead Island","Xbox",2011,"Action",2370000,71,75,69,627,"17+"
"667","The Incredibles","Playstation",2004,"Action",2370000,62,36,76,22,"13+"
"668","Madden NFL 08","Xbox",2007,"Sports",2370000,85,46,64,108,"Everyone"
"669","Tony Hawk's Underground 2","Playstation",2004,"Sports",2370000,83,59,88,55,"13+"
"670","Zumba Fitness","Xbox",2010,"Sports",2370000,42,10,55,16,"Everyone"
"671","Madden NFL 10","Playstation",2009,"Sports",2370000,85,41,68,58,"Everyone"
"673","Midnight Club: Los Angeles","Xbox",2008,"Racing",2350000,81,66,85,142,"13+"
"676","Kinect: Disneyland Adventures","Xbox",2011,"Misc",2350000,73,33,29,67,"10+"
"677","WWE SmackDown vs Raw 2008","Playstation",2007,"Fighting",2340000,71,11,72,31,"13+"
"681","NBA 2K16","Xbox",2015,"Sports",2340000,86,14,62,115,"10+"
"682","Kinect Sports: Season Two","Xbox",2011,"Sports",2340000,66,46,65,39,"Everyone"
"686","James Bond 007: Everything or Nothing","Playstation",2004,"Shooter",2310000,84,42,91,51,"13+"
"693","Batman: Arkham Origins","Playstation",2013,"Action",2290000,76,46,77,668,"13+"
"696","LEGO Star Wars: The Complete Saga","Playstation",2007,"Action",2290000,80,18,67,87,"10+"
"697","Need for Speed Underground 2","Xbox",2004,"Racing",2280000,77,35,87,27,"Everyone"
"698","Pro Evolution Soccer 2010","Playstation",2009,"Sports",2280000,78,42,67,76,"Everyone"
"700","FIFA Soccer 09","Playstation",2008,"Sports",2280000,82,8,69,20,"Everyone"
"702","The Sims 3","Xbox",2010,"Simulation",2280000,76,42,71,71,"13+"
"705","Dead Island","Playstation",2011,"Action",2270000,71,41,66,405,"17+"
"708","Sonic's Ultimate Genesis Collection","Playstation",2009,"Misc",2260000,80,35,86,43,"10+"
"709","Far Cry: Primal","Playstation",2016,"Action",2260000,76,91,63,635,"17+"
"710","Battlefield 1","Xbox",2016,"Shooter",2250000,87,37,82,440,"17+"
"711","Onimusha 2: Samurai's Destiny","Playstation",2002,"Adventure",2250000,84,31,90,52,"17+"
"714","Madden NFL 12","Playstation",2011,"Sports",2250000,79,31,55,56,"Everyone"
"715","God of War: Ascension","Playstation",2013,"Action",2250000,80,89,75,914,"17+"
"716","Guitar Hero III: Legends of Rock","Playstation",2007,"Misc",2240000,83,45,78,52,"13+"
"725","Madden NFL 25","Xbox",2013,"Sports",2230000,80,32,56,136,"Everyone"
"728","Borderlands 2","Playstation",2012,"Shooter",2230000,91,25,82,858,"17+"
"729","Prince of Persia: The Sands of Time","Playstation",2003,"Action",2220000,92,44,88,204,"13+"
"731","LEGO Marvel Super Heroes","Xbox",2013,"Action",2220000,80,37,76,127,"10+"
"734","Tom Clancy's Rainbow Six: Siege","Playstation",2015,"Shooter",2210000,73,40,73,480,"17+"
"735","Star Wars: The Force Unleashed","Playstation",2008,"Action",2210000,71,47,66,233,"13+"
