"","name","platform","year_of_release","genre","global_sales","critic_score","critic_count","user_score","user_count","rating"
"6241","Army of Two: The Devil's Cartel","Playstation",2013,"Shooter",280000,58,27,67,100,"17+"
"6253","Tao Feng: Fist of the Lotus","Xbox",2003,"Fighting",270000,65,32,65,8,"17+"
"6254","Guitar Hero: Van Halen","Playstation",2009,"Misc",270000,59,33,47,9,"13+"
"6263","Siren: Blood Curse","Playstation",2008,"Action",270000,78,42,81,87,"17+"
"6269","GRID 2","Xbox",2013,"Racing",270000,78,51,58,156,"Everyone"
"6279","Rock Revolution","Xbox",2008,"Misc",270000,38,28,51,17,"13+"
"6280","Dead Rising 2: Off the Record","Xbox",2011,"Action",270000,72,48,75,60,"17+"
"6284","Athens 2004","Playstation",2004,"Sports",270000,61,57,72,13,"Everyone"
"6288","Pro Race Driver","Playstation",2002,"Racing",270000,81,22,85,20,"13+"
"6294","Iron Man 2","Xbox",2010,"Action",270000,41,35,59,54,"13+"
"6296","Rocky: Legends","Playstation",2004,"Action",270000,65,24,86,12,"13+"
"6305","RalliSport Challenge 2","Xbox",2004,"Racing",270000,87,69,91,33,"Everyone"
"6308","F1 Race Stars","Xbox",2012,"Racing",270000,64,33,57,22,"Everyone"
"6315","NHL 07","Xbox",2006,"Sports",270000,79,49,53,167,"10+"
"6321","Fullmetal Alchemist 2: Curse of the Crimson Elixir","Playstation",2004,"Role-Playing",270000,67,21,84,20,"13+"
"6322","NASCAR 06: Total Team Control","Xbox",2005,"Racing",270000,79,25,59,7,"Everyone"
"6323","BloodRayne 2","Playstation",2004,"Shooter",270000,70,26,85,21,"17+"
"6324","Rory McIlroy PGA Tour","Xbox",2015,"Action",270000,60,26,43,77,"Everyone"
"6325","The Club","Xbox",2008,"Shooter",270000,76,63,68,43,"17+"
"6327","LEGO The Hobbit","Xbox",2014,"Action",270000,69,20,68,36,"10+"
"6328","Lightning Returns: Final Fantasy XIII","Xbox",2013,"Role-Playing",270000,69,21,66,222,"13+"
"6335","Shadow of Rome","Playstation",2005,"Action",270000,75,52,83,62,"17+"
"6339","NASCAR 2011: The Game","Playstation",2011,"Racing",270000,62,16,37,15,"Everyone"
"6340","Harry Potter and the Order of the Phoenix","Playstation",2007,"Action",270000,61,17,80,28,"10+"
"6342","Stuntman: Ignition","Playstation",2007,"Racing",270000,71,8,64,8,"13+"
"6346","Fantastic 4","Xbox",2005,"Action",270000,62,46,66,8,"13+"
